nome,localidade,tipo,site_atual,fraqueza,contacto,idioma,estado,data_envio,follow_up,resultado
Berghotel Riederfurka,Riederalp,hotel,none,só holidaycheck,+41 27 927 21 31,DE,novo,,,
Hôtel du Rhône,Sion,hotel 45 quartos,none,só OTA,info@durhonesion.ch,FR,novo,,,
Hotel Weisses Rössli,Leukerbad,garni 37 quartos,http://weissesroessli-leukerbad.ch,sem HTTPS,Tuftstrasse 4 3954 Leukerbad,DE,novo,,,
City Hotel Garni,Zermatt,garni 16 quartos,http://cityzermatt.ch,site datado sem HTTPS,+41 27 966 39 40 · hotel@cityzermatt.ch,DE,rascunho gmail,2026-09-02,,
Pension Waldegg,Saas-Almagell,pensão,pensionwaldegg.com,email hotmail; OTA,+41 77 486 26 65 · pensionwaldegg@hotmail.com,DE,rascunho gmail,2026-09-02,,
La Petite Auberge,Versegères,auberge 3 quartos,petiteauberge.ch,site estático antigo,cafe@petiteauberge.ch · Route de Mauvoisin 102,FR,novo,,,
Hotel Garni Simplon,Brigerbad,garni 20 quartos,garni-simplon.ch,só DE; OTA,+41 27 946 25 70 · info@garni-simplon.ch,DE,rascunho gmail,2026-09-02,,
Hotel Walliserkanne,Grächen,pensão 4 quartos,walliserkanne-graechen.ch,só DE,info@walliserkanne-graechen.ch · 027 956 25 91,DE,novo,,,
Pension Aaron am See,Grächen,pensão 4 quartos,zum-see.ch,site do restaurante,027 956 10 70 · info@zum-see.ch,DE,rascunho gmail,2026-09-02,,
Hôtel du Lac,Crans-Montana,hotel 30 quartos,hoteldulac-crans-montana.ch,template DE na versão EN,hotel-du-lac@bluewin.ch · +41 27 481 34 14,DE/FR,novo,,,
Relais des Mélèzes,Vissoie,maison d'hôtes,relaism.ch,só FR,info@relaism.ch · Rue du Château 1,FR,novo,,,
Au Manoir d'Anniviers,Vissoie,hotel,aumanoir.ch,Facebook-first,+41 27 475 12 20 · info@aumanoir.ch,FR,rascunho gmail,2026-09-02,,
Hotel Bahnhof,Zermatt,hostel,hotelbahnhofzermatt.com,i18n por query-string; OTA,welcome@hotelbahnhofzermatt.com,DE,novo,,,
Hotel Europe,Brig,garni 28 quartos,europe-brig.ch,parcialmente renovado; HRS,+41 27 923 13 21 · info@europe-brig.ch,DE,rascunho gmail,2026-09-02,,
Hotel Edelweiss,Haute-Nendaz,hotel 9 quartos,edelweissnendaz.com,OTA-dependente,+41 27 565 93 93,FR,novo,,,
Castel de Daval B&B,Sierre,B&B 5 quartos,collinededaval.ch,B&B é subpágina da cave,info@collinededaval.ch · 027 458 45 15,FR,novo,,,
Pension Heino,Saas-Grund,pensão,pension-heino.ch,OTA dominam,+41 27 957 46 09,DE,novo,,,
Hotel Slalom,Bettmeralp,hotel 14 quartos,slalom.ch,OTA dominam,info@slalom.ch · Kapellenweg 20,DE,novo,,,
Bergrestaurant Kreuzboden,Saas-Grund,bergrestaurant 500 lugares,facebook,email gmx; concurso de arrendamento da comuna,+41 27 957 29 45 · bergrestaurant-kreuzboden@gmx.ch,DE,rascunho gmail,2026-09-02,,
Restaurant Arnouva,Crans-Montana,restaurante de montanha 120 lugares,facebook,só listagem do turismo,"info@mycma.ch (operador CMA, não é do restaurante)",FR,novo,,,
Steakhouse zum Eidgenossen,Brig,steakhouse 30 anos,google business.site,874 reviews 4.5 sem domínio,steak@eidgenossenbrig.ch · Schulhausstrasse 2 3900 Brig,DE,novo,,,
Fer à Cheval,Verbier,pizzeria-bar desde 1969,facebook,reservas só por telefone,feracheval@verbier.ch · Rue de Médran 16 1936 Verbier,FR,novo,,,
Au Vieux Verbier,Verbier,restaurante familiar 35 anos,google/turismo,sem domínio,Rue de Médran 43,FR,novo,,,
Restaurant Le Grenier,Haute-Nendaz,café-restaurante,facebook,frente à telecabine sem site,resto.grenier@bluewin.ch · +41 27 288 24 40,FR,novo,,,
Restaurant Canaan,Leukerbad,chinês familiar,facebook+instagram,TA 4.5 sem site,"info@canaan.ch (visto uma vez, confirmar) · Willy-Spühlerstrasse 5 · +41 27 472 82 53",DE,novo,,,
Dun Huang,Crans-Montana,chinês 60 lugares,facebook,banquetes até 50 sem formulário,Route du Rawyl 10 · +41 27 481 90 80,FR,novo,,,
Cave Caldelari,Salgesch,adega,none,só diretórios; sem loja online,weinkellerei-caldelari@bluewin.ch · Varenstrasse 65 · +41 27 455 90 82,DE,novo,,,
Bergrestaurant Hohsaas,Saas-Grund,bergrestaurant 3200 m,facebook,domínio sem site,+41 27 957 17 08 · info@hohsaas-bergrestaurant.ch,DE,rascunho gmail,2026-09-02,,
Restaurant Japonais Lumine,Monthey,sushi/ramen takeaway,facebook,reservas só telefone,lumine.monthey@hotmail.com · Av. du Crochetan 5 · 027 525 28 64,FR,novo,,,
Ristorante Mediterraneo,Monthey,italiano 564 reviews,facebook+instagram,domínio sem site,Rue du Bourg-aux-Favre 4 · +41 24 472 19 06 · info@ristomediterraneo.ch,FR,rascunho gmail,2026-09-02,,
Les 3 Couronnes,Martigny-Bourg,café-restaurante séc. XVII,facebook,reservas só telefone,Place du Bourg 8 · +41 27 723 21 14 · contact@les3couronnes.ch,FR,rascunho gmail,2026-09-02,,
Café des Mayens,Leytron/Ovronnaz,café-restaurante (2025),facebook,negócio novo sem site,sandrine-denis@hotmail.com · Route d'Ovronnaz 328 · +41 27 306 21 16,FR,novo,,,
Le Midi,Sion,restaurante fondues,facebook+thefork,paga comissão TheFork,info@le-midi.ch · Place du Midi 30 · +41 27 558 81 02,FR,novo,,,
Chez Pellissier,Martigny,bar-restaurante,instagram,subpágina da loja de desporto,info@pellissiersport.ch · Rue du Verdan 11,FR,novo,,,
Restaurant Walliserstube,Zermatt,fusão suíço-asiática,http vs-stube.ch,site velho,Gryfelblatte 2 · +41 27 967 11 51 · info@vs-stube.ch,DE,rascunho gmail,2026-09-02,,
Gîte de Planchouet,Nendaz,restaurante+gîte,http planchouet.ch,site estático velho,Route de Planchouet 168 · 027 288 21 63 · info@planchouet.ch,FR,rascunho gmail,2026-09-02,,
Restaurant Giorgio,Sion,tapas/burger,site sem menus,menus só no FB/IG,reservation.giorgio@gmail.com · Espace des Remparts 14 · 027 203 53 53,FR,novo,,,
P2 Visp,Visp,bar-restaurante estação,facebook,sem página própria,info@hotel-elite-visp.ch · Bahnhofplatz 7 · 027 948 06 00,DE,novo,,,
Taferna Café-Bar,Brig,café-bar,facebook,sem site,tafernabrig@gmail.com · Saltinapromenade 1 · +41 79 547 38 37,DE,novo,,,
La Croisée,Veyras,café-pizzeria TA 5.0,facebook+instagram,identidade online confusa,Route de Montana 48,FR,novo,,,
Schäferstube,Saas-Fee,restaurante terraço glaciar,site,reservas só telefone,welcome@schaeferstube.ch · Obere Gasse 32,DE,novo,,,
Terra & Mar,Sion,restaurante português,facebook+instagram+ubereats,sem site,terramar1950@hotmail.com · Route des Ronquoz 5 · +41 78 259 68 17,PT/FR,novo,,,
Le Mont-Calme,Haute-Nendaz,restaurante,facebook,não verificado,"info@mont-calme.ch (residência, pode não chegar ao restaurante)",FR,novo,,,
Boulangerie Au Croissant de Lune,Martigny-Bourg,padaria,none,só listagem turismo,cretton_patrick@bluewin.ch,FR,novo,,,
